message_id,message_text,message_length,word_count,num_urls,num_digits,num_special_chars,spam_keyword_score,legit_keyword_score,sender_activity_score,sender_account_age_days,messages_sent_last_24h,timestamp,hour_of_day,day_of_week,spam_label
900111,Here are the notes from today's discussion. the updated proposal. Thanks.,73,11,0,0,0,0,1,52.8,249,5,2025-12-11 04:00:00,4,3,0
900112,Please find the attached invoice for the quarterly review. Let me know.,71,12,0,0,0,0,1,56.6,287,5,2025-12-12 18:00:00,18,4,0
900113,Here are the notes from today's discussion. Friday evening. Please confirm.,75,11,0,0,0,0,1,50.4,297,8,2025-11-13 16:00:00,16,3,0
900114,Get rich quick with this simple trick exclusive bonus ASAP!,59,10,0,0,1,1,0,47.5,41,16,2025-12-13 07:00:00,7,5,1
900115,Please find the attached invoice for the updated proposal. Please confirm.,74,11,0,0,0,0,1,37.6,,7,2025-11-24 16:00:00,16,0,0
900116,Payment received successfully for your subscription. the updated proposal. Thanks.,82,10,0,0,0,0,1,54.1,205,3,2025-10-26 13:00:00,13,6,0
900117,Payment received successfully for your subscription. Friday evening. Let me know.,81,11,0,0,0,0,1,88,624,14,2025-11-28 09:00:00,9,4,0
900118,Thanks for your help on the project update. 10:30 AM. Please confirm. https://company.portal/docs/2084,102,13,1,8,0,0,1,61.8,494,7,2025-11-22 17:00:00,17,5,0
900119,Please find the attached invoice for next Monday. Regards.,58,9,0,0,0,0,1,57.9,542,1,2025-11-10 05:00:00,5,0,0
900120,Can you send the report by end of day? next Monday. Appreciate it. https://company.portal/docs/8105,99,14,1,4,0,0,1,33.9,453,7,2025-11-24 03:00:00,3,0,0
900121,You are eligible for a refund of free gift cards now! http://bit.ly/9651,72,12,1,4,1,1,0,64.2,168,15,2025-11-19 19:00:00,19,2,1
900122,Please find the attached invoice for the quarterly review. Let me know.,71,12,0,0,0,0,1,81.8,148,4,2025-12-02 15:00:00,15,1,0
900123,Here are the notes from today's discussion. the quarterly review. Regards.,74,11,0,0,0,0,1,86,63,8,2025-11-18 19:00:00,19,1,0
900124,Could you review the document and share feedback? the quarterly review. Let me know.,84,14,0,0,0,0,1,63.3,347,5,2025-10-31 18:00:00,18,4,0
900125,Could you review the document and share feedback? the updated proposal. Thanks.,79,12,0,0,0,0,1,40.3,161,6,2025-11-12 10:00:00,10,2,0
900126,Can you send the report by end of day? 10:30 AM. Regards.,57,12,0,4,0,0,1,91.7,539,2,2025-12-22 07:00:00,7,0,0
900127,Let's catch up tomorrow regarding the timeline. Friday evening. Please confirm.,79,11,0,0,0,0,0,46.9,334,4,2025-11-03 15:00:00,15,0,0
900128,Thanks for your help on the project update. Friday evening. Please confirm.,75,12,0,0,0,0,1,39,484,6,2025-11-28 01:00:00,1,4,0
900129,"You've been selected for a cash prize of ₹50,000 before it expires! http://promo.example/2805",93,13,1,9,1,2,0,39,121,14,2025-12-18 04:00:00,4,3,1
900130,Reminder: your appointment is confirmed for the updated proposal. Please confirm.,81,11,0,0,0,0,1,40.7,257,4,2025-12-01 18:00:00,18,0,0
900131,Thanks for your help on the project update. next Monday. Thanks.,64,11,0,0,0,0,1,43.5,98,8,2025-12-17 16:00:00,16,2,0
900132,Could you review the document and share feedback? 10:30 AM. Let me know.,72,13,0,4,0,0,1,61,644,5,2025-11-28 11:00:00,11,4,0
900133,Payment received successfully for your subscription. the quarterly review. Appreciate it.,89,11,0,0,0,0,1,26.1,267,6,2025-12-11 03:00:00,3,3,0
900134,Let's catch up tomorrow regarding the timeline. the updated proposal. Appreciate it.,84,12,0,0,0,0,0,29.9,170,,2025-12-01 06:00:00,6,0,0
900135,Could you review the document and share feedback? the updated proposal. Appreciate it.,86,13,0,0,0,0,1,57.2,95,7,2025-11-09 12:00:00,12,6,0
900136,"Hi, can we reschedule our meeting to the updated proposal. Appreciate it.",73,12,0,0,0,0,2,96.2,225,5,2025-12-13 10:00:00,10,5,0
900137,"You are eligible for a refund of ₹50,000 limited time! http://bit.ly/9897",73,11,1,9,1,0,0,47.7,62,11,2025-12-21 20:00:00,20,6,1
900138,Payment received successfully for your subscription. 10:30 AM. Thanks.,70,9,0,4,0,0,1,32.9,333,8,2025-12-02 16:00:00,16,1,0
900139,Payment received successfully for your subscription. the quarterly review. Regards.,83,10,0,0,0,0,1,78,520,9,2025-12-20 18:00:00,18,5,0
900140,Your order has been shipped and will arrive by Friday evening. Let me know.,75,14,0,0,0,0,1,53.4,149,3,2025-11-23 15:00:00,15,6,0
900141,Act fast! Your account will be suspended unless free gift cards today only! http://promo.example/7647,101,14,1,4,2,1,0,43.2,181,12,2025-11-20 12:00:00,12,3,1
900142,Please find the attached invoice for the quarterly review. Let me know.,71,12,0,0,0,0,1,69,142,4,2025-10-26 11:00:00,11,6,0
900143,Please find the attached invoice for the updated proposal. Please confirm.,74,11,0,0,0,0,1,18.5,138,3,2025-10-26 16:00:00,16,6,0
900144,Thanks for your help on the project update. Friday evening. Appreciate it.,74,12,0,0,0,0,1,34.6,608,9,2025-11-05 07:00:00,7,2,0
900145,Let's catch up tomorrow regarding the timeline. Friday evening. Regards.,72,10,0,0,0,0,0,76.9,377,4,2025-11-17 08:00:00,8,0,0
900146,Your order has been shipped and will arrive by next Monday. Please confirm.,75,13,0,0,0,0,1,73.6,240,1,2025-11-02 13:00:00,13,6,0
900147,Your order has been shipped and will arrive by the quarterly review. Regards.,77,13,0,0,0,0,1,35.1,692,9,2025-11-23 02:00:00,2,6,0
900148,Let's catch up tomorrow regarding the timeline. the quarterly review. Regards.,78,11,0,0,0,0,0,57.5,434,4,2025-12-11 14:00:00,14,3,0
900149,Thanks for your help on the project update. Friday evening. Regards.,68,11,0,0,0,0,1,93.4,624,6,2025-12-21 06:00:00,6,6,0
900150,Click here to verify your account instant cashback before it expires! http://promo.example/3170,95,12,1,4,1,3,0,35.3,,22,2025-11-13 23:00:00,23,3,1
900151,Please find the attached invoice for Friday evening. Let me know.,65,11,0,0,0,0,1,53.9,263,8,2025-11-06 15:00:00,15,3,0
900152,Let's catch up tomorrow regarding the timeline. next Monday. Regards.,69,10,0,0,0,0,0,44.3,514,4,2025-11-03 16:00:00,16,0,0
900153,Payment received successfully for your subscription. the quarterly review. Regards.,83,10,0,0,0,0,1,47.7,392,3,2025-11-21 13:00:00,13,4,0
900154,"Hi, can we reschedule our meeting to Friday evening. Appreciate it.",67,11,0,0,0,0,2,76.4,367,6,2025-11-08 18:00:00,18,5,0
900155,Thanks for your help on the project update. next Monday. Thanks.,64,11,0,0,0,0,1,49.9,366,8,2025-11-14 11:00:00,11,4,0
900156,"Hi, can we reschedule our meeting to the updated proposal. Please confirm.",74,12,0,0,0,0,2,38.9,777,7,2025-12-12 14:00:00,14,4,0
900157,Could you review the document and share feedback? the updated proposal. Please confirm.,87,13,0,0,0,0,1,43.7,292,6,2025-11-15 02:00:00,2,5,0
900158,Can you send the report by end of day? the quarterly review. Let me know.,73,15,0,0,0,0,1,60,286,7,2025-11-28 22:00:00,22,4,0
900159,Let's catch up tomorrow regarding the timeline. the quarterly review. Appreciate it.,84,12,0,0,0,0,0,72.4,544,7,2025-12-02 00:00:00,0,1,0
900160,Reminder: your appointment is confirmed for the updated proposal. Please confirm.,81,11,0,0,0,0,1,57.2,186,9,2025-11-18 20:00:00,20,1,0
900161,Can you send the report by end of day? Friday evening. Let me know. https://company.portal/docs/2252,100,15,1,4,0,0,1,41.2,153,7,2025-11-04 07:00:00,7,1,0
900162,Please find the attached invoice for the updated proposal. Please confirm.,74,11,0,0,0,0,1,25.1,246,3,2025-11-02 12:00:00,12,6,0
900163,"Hi, can we reschedule our meeting to Friday evening. Please confirm.",68,11,0,0,0,0,2,58.2,561,5,2025-11-06 07:00:00,7,3,0
900164,Payment received successfully for your subscription. the quarterly review. Appreciate it.,89,11,0,0,0,0,1,7.7,399,2,2025-12-03 18:00:00,18,2,0
900165,You've been selected for a cash prize of free gift cards before it expires! http://promo.example/4208,101,15,1,4,1,3,0,61.7,57,19,2025-11-06 16:00:00,16,3,1
900166,Payment received successfully for your subscription. 10:30 AM. Regards.,71,9,0,4,0,0,1,51.1,410,5,2025-11-05 11:00:00,11,2,0
900167,Thanks for your help on the project update. 10:30 AM. Please confirm.,69,12,0,4,0,0,1,92.8,564,8,2025-11-04 00:00:00,0,1,0
900168,Limited offer! Get exclusive bonus limited time! http://promo.example/4747,74,8,1,4,2,2,0,43,58,22,2025-10-27 19:00:00,19,0,1
900169,Congratulations! You have won free gift cards now!,50,8,0,0,2,1,0,53.2,67,10,2025-11-13 20:00:00,20,3,1
900170,Can you send the report by end of day? next Monday. Thanks.,59,12,0,0,0,0,1,51.3,180,6,2025-11-21 02:00:00,2,4,0
900171,Thanks for your help on the project update. the quarterly review. Let me know.,78,14,0,0,0,0,1,30.3,457,5,2025-11-24 19:00:00,19,0,0
900172,"Hi, can we reschedule our meeting to Friday evening. Regards.",61,10,0,0,0,0,2,53.1,269,6,2025-11-12 21:00:00,21,2,0
900173,Thanks for your help on the project update. the updated proposal. Regards.,74,12,0,0,0,0,1,14.1,423,5,2025-11-03 06:00:00,6,0,0
900174,Could you review the document and share feedback? 10:30 AM. Appreciate it.,74,12,0,4,0,0,1,56.2,419,2,2025-11-13 09:00:00,9,3,0
900175,Your order has been shipped and will arrive by the quarterly review. Please confirm.,84,14,0,0,0,0,1,43,720,6,2025-11-25 15:00:00,15,1,0
900176,Could you review the document and share feedback? 10:30 AM. Let me know.,72,13,0,4,0,0,1,69.7,,7,2025-12-06 22:00:00,22,5,0
900177,Your order has been shipped and will arrive by the updated proposal. Let me know.,81,15,0,0,0,0,1,43.3,313,7,2025-12-21 03:00:00,3,6,0
900178,Payment received successfully for your subscription. the updated proposal. Please confirm.,90,11,0,0,0,0,1,50.5,345,9,2025-12-08 21:00:00,21,0,0
900179,Reminder: your appointment is confirmed for the quarterly review. Let me know.,78,12,0,0,0,0,1,15.4,793,6,2025-10-25 13:00:00,13,5,0
900180,Click here to verify your account free gift cards now! https://tinyurl.com/7246,79,11,1,4,1,3,0,42.6,24,24,2025-11-30 06:00:00,6,6,1
900181,Please find the attached invoice for 10:30 AM. Please confirm.,62,10,0,4,0,0,1,36.4,413,3,2025-11-09 20:00:00,20,6,0
900182,Can you send the report by end of day? the quarterly review. Please confirm.,76,14,0,0,0,0,1,68.8,210,9,2025-12-06 10:00:00,10,5,0
900183,Payment received successfully for your subscription. 10:30 AM. Regards.,71,9,0,4,0,0,1,48.6,452,7,2025-11-27 21:00:00,21,3,0
900184,Could you review the document and share feedback? Friday evening. Thanks.,73,11,0,0,0,0,1,58.5,230,4,2025-11-25 10:00:00,10,1,0
900185,Here are the notes from today's discussion. next Monday. Regards.,65,10,0,0,0,0,1,60.1,291,7,2025-11-17 14:00:00,14,0,0
900186,Here are the notes from today's discussion. next Monday. Thanks.,64,10,0,0,0,0,1,31.9,174,5,2025-12-01 19:00:00,19,0,0
900187,"Hi, can we reschedule our meeting to the updated proposal. Please confirm.",74,12,0,0,0,0,2,42.2,189,6,2025-12-11 00:00:00,0,3,0
900188,Congratulations! You have won instant cashback limited time! http://promo.example/8565,86,9,1,4,2,1,0,57,66,,2025-12-21 20:00:00,20,6,1
900189,Here are the notes from today's discussion. next Monday. Let me know.,69,12,0,0,0,0,1,37.5,747,8,2025-12-10 08:00:00,8,2,0
900190,Could you review the document and share feedback? the quarterly review. Please confirm.,87,13,0,0,0,0,1,58.8,177,3,2025-11-20 14:00:00,14,3,0
900191,Could you review the document and share feedback? 10:30 AM. Please confirm.,75,12,0,4,0,0,1,10.1,528,11,2025-12-22 18:00:00,18,0,0
900192,Payment received successfully for your subscription. next Monday. Thanks. https://company.portal/docs/5336,106,10,1,4,0,0,1,98.7,313,5,2025-11-12 08:00:00,8,2,0
900193,Thanks for your help on the project update. the quarterly review. Please confirm.,81,13,0,0,0,0,1,80,373,9,2025-12-05 02:00:00,2,4,0
